"동별","연령별","시점","계","한국인","등록외국인",
"합계","합계","2025. 1/4","9602826","9335734","267092",
"합계","0~4세","2025. 1/4","205595","201873","3722",
"합계","5~9세","2025. 1/4","280911","275078","5833",
"합계","10~14세","2025. 1/4","356556","351729","4827",
"합계","15~19세","2025. 1/4","379742","371868","7874",
"합계","20~24세","2025. 1/4","570525","523527","46998",
"합계","25~29세","2025. 1/4","819346","774157","45189",
"합계","30~34세","2025. 1/4","825292","798609","26683",
"합계","35~39세","2025. 1/4","670690","646833","23857",
"합계","40~44세","2025. 1/4","721372","701259","20113",
"합계","45~49세","2025. 1/4","694249","677737","16512",
"합계","50~54세","2025. 1/4","788526","771097","17429",
"합계","55~59세","2025. 1/4","733224","713274","19950",
"합계","60~64세","2025. 1/4","703122","688150","14972",
"합계","65~69세","2025. 1/4","640972","633335","7637",
"합계","70~74세","2025. 1/4","455827","452517","3310",
"합계","75~79세","2025. 1/4","342898","341723","1175",
"합계","80~84세","2025. 1/4","237347","236887","460",
"합계","85~89세","2025. 1/4","123393","123091","302",
"합계","90~94세","2025. 1/4","41874","41733","141",
"합계","95~99세","2025. 1/4","9814","9751","63",
"합계","100세 이상","2025. 1/4","1551","1506","45",
"종로구","합계","2025. 1/4","149478","138184","11294",
"종로구","0~4세","2025. 1/4","2360","2203","157",
"종로구","5~9세","2025. 1/4","3392","3152","240",
"종로구","10~14세","2025. 1/4","4621","4394","227",
"종로구","15~19세","2025. 1/4","5460","5076","384",
"종로구","20~24세","2025. 1/4","11712","8508","3204",
"종로구","25~29세","2025. 1/4","14921","12277","2644",
"종로구","30~34세","2025. 1/4","12330","11326","1004",
"종로구","35~39세","2025. 1/4","9152","8377","775",
"종로구","40~44세","2025. 1/4","10008","9309","699",
"종로구","45~49세","2025. 1/4","9651","9108","543",
"종로구","50~54세","2025. 1/4","12206","11743","463",
"종로구","55~59세","2025. 1/4","11907","11531","376",
"종로구","60~64세","2025. 1/4","11516","11245","271",
"종로구","65~69세","2025. 1/4","9892","9720","172",
"종로구","70~74세","2025. 1/4","6787","6725","62",
"종로구","75~79세","2025. 1/4","5483","5441","42",
"종로구","80~84세","2025. 1/4","4331","4316","15",
"종로구","85~89세","2025. 1/4","2551","2542","9",
"종로구","90~94세","2025. 1/4","937","931","6",
"종로구","95~99세","2025. 1/4","218","217","1",
"종로구","100세 이상","2025. 1/4","43","43","-",
"사직동","합계","2025. 1/4","9177","8937","240",
"사직동","0~4세","2025. 1/4","155","150","5",
"사직동","5~9세","2025. 1/4","253","245","8",
"사직동","10~14세","2025. 1/4","322","316","6",
"사직동","15~19세","2025. 1/4","312","309","3",
"사직동","20~24세","2025. 1/4","408","400","8",
"사직동","25~29세","2025. 1/4","652","636","16",
"사직동","30~34세","2025. 1/4","831","815","16",
"사직동","35~39세","2025. 1/4","645","614","31",
"사직동","40~44세","2025. 1/4","767","723","44",
"사직동","45~49세","2025. 1/4","691","656","35",
"사직동","50~54세","2025. 1/4","773","751","22",
"사직동","55~59세","2025. 1/4","722","708","14",
"사직동","60~64세","2025. 1/4","681","667","14",
"사직동","65~69세","2025. 1/4","614","602","12",
"사직동","70~74세","2025. 1/4","388","386","2",
"사직동","75~79세","2025. 1/4","337","335","2",
"사직동","80~84세","2025. 1/4","304","304","-",
"사직동","85~89세","2025. 1/4","208","207","1",
"사직동","90~94세","2025. 1/4","82","81","1",
"사직동","95~99세","2025. 1/4","25","25","-",
"사직동","100세 이상","2025. 1/4","7","7","-",
"삼청동","합계","2025. 1/4","2441","2189","252",
"삼청동","0~4세","2025. 1/4","37","32","5",
"삼청동","5~9세","2025. 1/4","66","48","18",
"삼청동","10~14세","2025. 1/4","97","70","27",
"삼청동","15~19세","2025. 1/4","106","84","22",
"삼청동","20~24세","2025. 1/4","83","80","3",
"삼청동","25~29세","2025. 1/4","159","150","9",
"삼청동","30~34세","2025. 1/4","152","141","11",
"삼청동","35~39세","2025. 1/4","162","137","25",
"삼청동","40~44세","2025. 1/4","200","165","35",
"삼청동","45~49세","2025. 1/4","172","135","37",
"삼청동","50~54세","2025. 1/4","188","166","22",
"삼청동","55~59세","2025. 1/4","180","170","10",
"삼청동","60~64세","2025. 1/4","191","184","7",
"삼청동","65~69세","2025. 1/4","195","185","10",
"삼청동","70~74세","2025. 1/4","136","132","4",
"삼청동","75~79세","2025. 1/4","133","128","5",
"삼청동","80~84세","2025. 1/4","97","96","1",
"삼청동","85~89세","2025. 1/4","55","54","1",
"삼청동","90~94세","2025. 1/4","27","27","-",
"삼청동","95~99세","2025. 1/4","5","5","-",
"삼청동","100세 이상","2025. 1/4","-","-","-",
"부암동","합계","2025. 1/4","9282","9016","266",
"부암동","0~4세","2025. 1/4","120","120","-",
"부암동","5~9세","2025. 1/4","234","234","-",
"부암동","10~14세","2025. 1/4","371","371","-",
"부암동","15~19세","2025. 1/4","411","408","3",
"부암동","20~24세","2025. 1/4","519","454","65",
"부암동","25~29세","2025. 1/4","640","571","69",
"부암동","30~34세","2025. 1/4","709","667","42",
"부암동","35~39세","2025. 1/4","556","526","30",
"부암동","40~44세","2025. 1/4","678","659","19",
"부암동","45~49세","2025. 1/4","681","670","11",
"부암동","50~54세","2025. 1/4","837","831","6",
"부암동","55~59세","2025. 1/4","787","778","9",
"부암동","60~64세","2025. 1/4","724","721","3",
"부암동","65~69세","2025. 1/4","667","662","5",
"부암동","70~74세","2025. 1/4","431","428","3",
"부암동","75~79세","2025. 1/4","380","379","1",
"부암동","80~84세","2025. 1/4","265","265","-",
"부암동","85~89세","2025. 1/4","180","180","-",
"부암동","90~94세","2025. 1/4","63","63","-",
"부암동","95~99세","2025. 1/4","26","26","-",
"부암동","100세 이상","2025. 1/4","3","3","-",
"평창동","합계","2025. 1/4","17426","17233","193",
"평창동","0~4세","2025. 1/4","368","367","1",
"평창동","5~9세","2025. 1/4","550","549","1",
"평창동","10~14세","2025. 1/4","756","751","5",
"평창동","15~19세","2025. 1/4","769","768","1",
"평창동","20~24세","2025. 1/4","885","883","2",
"평창동","25~29세","2025. 1/4","1020","1005","15",
"평창동","30~34세","2025. 1/4","1061","1049","12",
"평창동","35~39세","2025. 1/4","1013","979","34",
"평창동","40~44세","2025. 1/4","1260","1235","25",
"평창동","45~49세","2025. 1/4","1192","1170","22",
"평창동","50~54세","2025. 1/4","1549","1534","15",
"평창동","55~59세","2025. 1/4","1568","1550","18",
"평창동","60~64세","2025. 1/4","1541","1525","16",
"평창동","65~69세","2025. 1/4","1314","1303","11",
"평창동","70~74세","2025. 1/4","868","862","6",
"평창동","75~79세","2025. 1/4","664","661","3",
"평창동","80~84세","2025. 1/4","483","481","2",
"평창동","85~89세","2025. 1/4","358","355","3",
"평창동","90~94세","2025. 1/4","163","162","1",
"평창동","95~99세","2025. 1/4","31","31","-",
"평창동","100세 이상","2025. 1/4","13","13","-",
"무악동","합계","2025. 1/4","7857","7829","28",
"무악동","0~4세","2025. 1/4","188","188","-",
"무악동","5~9세","2025. 1/4","297","297","-",
"무악동","10~14세","2025. 1/4","458","458","-",
"무악동","15~19세","2025. 1/4","445","445","-",
"무악동","20~24세","2025. 1/4","426","425","1",
"무악동","25~29세","2025. 1/4","370","370","-",
"무악동","30~34세","2025. 1/4","397","391","6",
"무악동","35~39세","2025. 1/4","430","425","5",
"무악동","40~44세","2025. 1/4","603","600","3",
"무악동","45~49세","2025. 1/4","631","630","1",
"무악동","50~54세","2025. 1/4","823","818","5",
"무악동","55~59세","2025. 1/4","596","594","2",
"무악동","60~64세","2025. 1/4","622","620","2",
"무악동","65~69세","2025. 1/4","508","505","3",
"무악동","70~74세","2025. 1/4","346","346","-",
"무악동","75~79세","2025. 1/4","279","279","-",
"무악동","80~84세","2025. 1/4","241","241","-",
"무악동","85~89세","2025. 1/4","139","139","-",
"무악동","90~94세","2025. 1/4","47","47","-",
