구,동,연령별,시점,계,한국인,등록외국인,
서울시,합계,합계,2025. 1/4,9602826,9335734,267092,
서울시,합계,0~4세,2025. 1/4,205595,201873,3722,
서울시,합계,5~9세,2025. 1/4,280911,275078,5833,
서울시,합계,10~14세,2025. 1/4,356556,351729,4827,
서울시,합계,15~19세,2025. 1/4,379742,371868,7874,
서울시,합계,20~24세,2025. 1/4,570525,523527,46998,
서울시,합계,25~29세,2025. 1/4,819346,774157,45189,
서울시,합계,30~34세,2025. 1/4,825292,798609,26683,
서울시,합계,35~39세,2025. 1/4,670690,646833,23857,
서울시,합계,40~44세,2025. 1/4,721372,701259,20113,
서울시,합계,45~49세,2025. 1/4,694249,677737,16512,
서울시,합계,50~54세,2025. 1/4,788526,771097,17429,
서울시,합계,55~59세,2025. 1/4,733224,713274,19950,
서울시,합계,60~64세,2025. 1/4,703122,688150,14972,
서울시,합계,65~69세,2025. 1/4,640972,633335,7637,
서울시,합계,70~74세,2025. 1/4,455827,452517,3310,
서울시,합계,75~79세,2025. 1/4,342898,341723,1175,
서울시,합계,80~84세,2025. 1/4,237347,236887,460,
서울시,합계,85~89세,2025. 1/4,123393,123091,302,
서울시,합계,90~94세,2025. 1/4,41874,41733,141,
서울시,합계,95~99세,2025. 1/4,9814,9751,63,
서울시,합계,100세 이상,2025. 1/4,1551,1506,45,
종로구,구계,합계,2025. 1/4,149478,138184,11294,
종로구,구계,0~4세,2025. 1/4,2360,2203,157,
종로구,구계,5~9세,2025. 1/4,3392,3152,240,
종로구,구계,10~14세,2025. 1/4,4621,4394,227,
종로구,구계,15~19세,2025. 1/4,5460,5076,384,
종로구,구계,20~24세,2025. 1/4,11712,8508,3204,
종로구,구계,25~29세,2025. 1/4,14921,12277,2644,
종로구,구계,30~34세,2025. 1/4,12330,11326,1004,
종로구,구계,35~39세,2025. 1/4,9152,8377,775,
종로구,구계,40~44세,2025. 1/4,10008,9309,699,
종로구,구계,45~49세,2025. 1/4,9651,9108,543,
종로구,구계,50~54세,2025. 1/4,12206,11743,463,
종로구,구계,55~59세,2025. 1/4,11907,11531,376,
종로구,구계,60~64세,2025. 1/4,11516,11245,271,
종로구,구계,65~69세,2025. 1/4,9892,9720,172,
종로구,구계,70~74세,2025. 1/4,6787,6725,62,
종로구,구계,75~79세,2025. 1/4,5483,5441,42,
종로구,구계,80~84세,2025. 1/4,4331,4316,15,
종로구,구계,85~89세,2025. 1/4,2551,2542,9,
종로구,구계,90~94세,2025. 1/4,937,931,6,
종로구,구계,95~99세,2025. 1/4,218,217,1,
종로구,구계,100세 이상,2025. 1/4,43,43,-,
종로구,사직동,합계,2025. 1/4,9177,8937,240,
종로구,사직동,0~4세,2025. 1/4,155,150,5,
종로구,사직동,5~9세,2025. 1/4,253,245,8,
종로구,사직동,10~14세,2025. 1/4,322,316,6,
종로구,사직동,15~19세,2025. 1/4,312,309,3,
종로구,사직동,20~24세,2025. 1/4,408,400,8,
종로구,사직동,25~29세,2025. 1/4,652,636,16,
종로구,사직동,30~34세,2025. 1/4,831,815,16,
종로구,사직동,35~39세,2025. 1/4,645,614,31,
종로구,사직동,40~44세,2025. 1/4,767,723,44,
종로구,사직동,45~49세,2025. 1/4,691,656,35,
종로구,사직동,50~54세,2025. 1/4,773,751,22,
종로구,사직동,55~59세,2025. 1/4,722,708,14,
종로구,사직동,60~64세,2025. 1/4,681,667,14,
종로구,사직동,65~69세,2025. 1/4,614,602,12,
종로구,사직동,70~74세,2025. 1/4,388,386,2,
종로구,사직동,75~79세,2025. 1/4,337,335,2,
종로구,사직동,80~84세,2025. 1/4,304,304,-,
종로구,사직동,85~89세,2025. 1/4,208,207,1,
종로구,사직동,90~94세,2025. 1/4,82,81,1,
종로구,사직동,95~99세,2025. 1/4,25,25,-,
종로구,사직동,100세 이상,2025. 1/4,7,7,-,
종로구,삼청동,합계,2025. 1/4,2441,2189,252,
종로구,삼청동,0~4세,2025. 1/4,37,32,5,
종로구,삼청동,5~9세,2025. 1/4,66,48,18,
종로구,삼청동,10~14세,2025. 1/4,97,70,27,
종로구,삼청동,15~19세,2025. 1/4,106,84,22,
종로구,삼청동,20~24세,2025. 1/4,83,80,3,
종로구,삼청동,25~29세,2025. 1/4,159,150,9,
종로구,삼청동,30~34세,2025. 1/4,152,141,11,
종로구,삼청동,35~39세,2025. 1/4,162,137,25,
종로구,삼청동,40~44세,2025. 1/4,200,165,35,
종로구,삼청동,45~49세,2025. 1/4,172,135,37,
종로구,삼청동,50~54세,2025. 1/4,188,166,22,
종로구,삼청동,55~59세,2025. 1/4,180,170,10,
종로구,삼청동,60~64세,2025. 1/4,191,184,7,
종로구,삼청동,65~69세,2025. 1/4,195,185,10,
종로구,삼청동,70~74세,2025. 1/4,136,132,4,
종로구,삼청동,75~79세,2025. 1/4,133,128,5,
종로구,삼청동,80~84세,2025. 1/4,97,96,1,
종로구,삼청동,85~89세,2025. 1/4,55,54,1,
종로구,삼청동,90~94세,2025. 1/4,27,27,-,
종로구,삼청동,95~99세,2025. 1/4,5,5,-,
종로구,삼청동,100세 이상,2025. 1/4,-,-,-,
종로구,부암동,합계,2025. 1/4,9282,9016,266,
종로구,부암동,0~4세,2025. 1/4,120,120,-,
종로구,부암동,5~9세,2025. 1/4,234,234,-,
종로구,부암동,10~14세,2025. 1/4,371,371,-,
종로구,부암동,15~19세,2025. 1/4,411,408,3,
종로구,부암동,20~24세,2025. 1/4,519,454,65,
종로구,부암동,25~29세,2025. 1/4,640,571,69,
종로구,부암동,30~34세,2025. 1/4,709,667,42,
종로구,부암동,35~39세,2025. 1/4,556,526,30,
종로구,부암동,40~44세,2025. 1/4,678,659,19,
종로구,부암동,45~49세,2025. 1/4,681,670,11,
종로구,부암동,50~54세,2025. 1/4,837,831,6,
종로구,부암동,55~59세,2025. 1/4,787,778,9,
종로구,부암동,60~64세,2025. 1/4,724,721,3,
종로구,부암동,65~69세,2025. 1/4,667,662,5,
종로구,부암동,70~74세,2025. 1/4,431,428,3,
종로구,부암동,75~79세,2025. 1/4,380,379,1,
종로구,부암동,80~84세,2025. 1/4,265,265,-,
종로구,부암동,85~89세,2025. 1/4,180,180,-,
종로구,부암동,90~94세,2025. 1/4,63,63,-,
종로구,부암동,95~99세,2025. 1/4,26,26,-,
종로구,부암동,100세 이상,2025. 1/4,3,3,-,
종로구,평창동,합계,2025. 1/4,17426,17233,193,
종로구,평창동,0~4세,2025. 1/4,368,367,1,
종로구,평창동,5~9세,2025. 1/4,550,549,1,
종로구,평창동,10~14세,2025. 1/4,756,751,5,
종로구,평창동,15~19세,2025. 1/4,769,768,1,
종로구,평창동,20~24세,2025. 1/4,885,883,2,
종로구,평창동,25~29세,2025. 1/4,1020,1005,15,
종로구,평창동,30~34세,2025. 1/4,1061,1049,12,
종로구,평창동,35~39세,2025. 1/4,1013,979,34,
종로구,평창동,40~44세,2025. 1/4,1260,1235,25,
종로구,평창동,45~49세,2025. 1/4,1192,1170,22,
종로구,평창동,50~54세,2025. 1/4,1549,1534,15,
종로구,평창동,55~59세,2025. 1/4,1568,1550,18,
종로구,평창동,60~64세,2025. 1/4,1541,1525,16,
종로구,평창동,65~69세,2025. 1/4,1314,1303,11,
종로구,평창동,70~74세,2025. 1/4,868,862,6,
종로구,평창동,75~79세,2025. 1/4,664,661,3,
종로구,평창동,80~84세,2025. 1/4,483,481,2,
종로구,평창동,85~89세,2025. 1/4,358,355,3,
종로구,평창동,90~94세,2025. 1/4,163,162,1,
종로구,평창동,95~99세,2025. 1/4,31,31,-,
종로구,평창동,100세 이상,2025. 1/4,13,13,-,
종로구,무악동,합계,2025. 1/4,7857,7829,28,
종로구,무악동,0~4세,2025. 1/4,188,188,-,
종로구,무악동,5~9세,2025. 1/4,297,297,-,
종로구,무악동,10~14세,2025. 1/4,458,458,-,
종로구,무악동,15~19세,2025. 1/4,445,445,-,
종로구,무악동,20~24세,2025. 1/4,426,425,1,
종로구,무악동,25~29세,2025. 1/4,370,370,-,
종로구,무악동,30~34세,2025. 1/4,397,391,6,
종로구,무악동,35~39세,2025. 1/4,430,425,5,
종로구,무악동,40~44세,2025. 1/4,603,600,3,
종로구,무악동,45~49세,2025. 1/4,631,630,1,
종로구,무악동,50~54세,2025. 1/4,823,818,5,
종로구,무악동,55~59세,2025. 1/4,596,594,2,
종로구,무악동,60~64세,2025. 1/4,622,620,2,
종로구,무악동,65~69세,2025. 1/4,508,505,3,
종로구,무악동,70~74세,2025. 1/4,346,346,-,
종로구,무악동,75~79세,2025. 1/4,279,279,-,
종로구,무악동,80~84세,2025. 1/4,241,241,-,
종로구,무악동,85~89세,2025. 1/4,139,139,-,
종로구,무악동,90~94세,2025. 1/4,47,47,-,
종로구,무악동,95~99세,2025. 1/4,9,9,-,
종로구,무악동,100세 이상,2025. 1/4,2,2,-,
종로구,교남동,합계,2025. 1/4,9674,9512,162,
종로구,교남동,0~4세,2025. 1/4,282,277,5,
종로구,교남동,5~9세,2025. 1/4,409,404,5,
종로구,교남동,10~14세,2025. 1/4,361,351,10,
종로구,교남동,15~19세,2025. 1/4,397,390,7,
종로구,교남동,20~24세,2025. 1/4,424,423,1,
종로구,교남동,25~29세,2025. 1/4,642,634,8,
종로구,교남동,30~34세,2025. 1/4,703,691,12,
종로구,교남동,35~39세,2025. 1/4,724,704,20,
종로구,교남동,40~44세,2025. 1/4,863,838,25,
종로구,교남동,45~49세,2025. 1/4,825,802,23,
종로구,교남동,50~54세,2025. 1/4,899,885,14,
종로구,교남동,55~59세,2025. 1/4,759,745,14,
종로구,교남동,60~64세,2025. 1/4,624,618,6,
종로구,교남동,65~69세,2025. 1/4,562,556,6,
종로구,교남동,70~74세,2025. 1/4,417,416,1,
종로구,교남동,75~79세,2025. 1/4,344,341,3,
종로구,교남동,80~84세,2025. 1/4,239,238,1,
종로구,교남동,85~89세,2025. 1/4,146,146,-,
종로구,교남동,90~94세,2025. 1/4,43,43,-,
종로구,교남동,95~99세,2025. 1/4,11,10,1,
종로구,교남동,100세 이상,2025. 1/4,-,-,-,
종로구,가회동,합계,2025. 1/4,3868,3763,105,
종로구,가회동,0~4세,2025. 1/4,58,55,3,
