CTPV_NM,FRSTN_NM,SF119CN_EAQT,FRFGH_PBOFC_CNT,CNTR_TKCG_PPLTN_CNT,FRFGH_PBOFC_TKCG_PPLTN_CNT,CMPTNC_ZONE_RSRGS_PPLTN_CNT,EDRLVNALN_HSHD_CNT,ADVAG_PPLTN_CNT,ONPSHH_CNT,INFNT_PPLTN_CNT,REG_FRGNR_CNT,REG_PWDBS_CNT,ROBL_CNT,CMPTNC_AREA,PPLTN_DN,CMPTNC_ZONE_NM,SPFPTG_CNT,FRFGH_EQPMNT_VHCL_CNT,FIRE_OCRN_NOCS
서울,강남소방서,6,361,89872,1494,539231,10335,74959,68999,21750,4824,15200,14660,39.5,13651,강남구,13685,53,387
서울,강동소방서,5,296,91994,1554,459970,10831,69903,50316,23039,4028,18307,14698,24.59,18706,강동구,7713,45,221
서울,강북소방서,4,229,77014,1345,308055,12704,63313,45685,9967,3514,17441,19846,23.6,13053,강북구,6817,36,186
서울,강서소방서,6,315,96698,1842,580185,16294,88733,86172,26031,5716,28727,27797,41.44,14001,강서구,9877,46,212
서울,관악소방서,4,276,123765,1794,495060,13676,78430,129233,14828,14743,20265,20517,29.57,16742,관악구,10271,40,219
서울,광진소방서,3,209,115561,1659,346682,8200,50311,62301,12615,13427,12353,11864,17.06,20321,광진구,9045,31,186
서울,구로소방서,8,398,79518,1598,636141,18438,108515,93305,27422,44182,29670,23966,33.14,19196,"구로구, 금천구",12592,57,283
서울,노원소방서,5,273,104607,1916,523037,17738,85420,56438,20925,3995,27312,31054,35.44,14758,노원구,5034,39,172
서울,도봉소방서,4,227,81314,1433,325257,10706,62009,34884,12133,2104,15436,13876,20.65,15751,도봉구,5661,38,163
서울,동대문소방서,5,270,68567,1270,342837,11072,61612,60925,14047,14177,15701,15043,14.22,24109,동대문구,9865,42,152
서울,동작소방서,4,234,97805,1672,391220,9923,64928,64101,16472,10352,14607,12408,16.35,23928,동작구,6563,35,151
서울,마포소방서,6,310,61982,1200,371890,8569,54002,63172,16912,9968,12951,10160,23.85,15593,마포구,10348,44,240
서울,서대문소방서,4,239,78043,1306,312173,8899,53756,49863,13566,10779,12551,10614,17.63,17707,서대문구,6718,34,220
서울,서초소방서,6,314,70854,1354,425126,6891,60072,43942,20736,3899,10542,6791,46.98,9049,서초구,9138,45,240
서울,성동소방서,4,233,73389,1260,293556,7361,45435,42585,14386,6949,11412,9718,16.86,17411,성동구,6695,35,187
서울,성북소방서,4,241,109288,1814,437153,11771,73613,61510,18611,9903,17490,15634,24.58,17785,성북구,9979,38,173
서울,송파소방서,6,321,111327,2081,667960,12324,93309,73694,33189,5966,20286,16081,33.87,19721,송파구,9306,46,307
서울,양천소방서,5,268,90850,1695,454251,10847,65541,39436,19003,3530,17558,16060,17.41,26091,양천구,6438,42,153
서울,영등포소방서,5,286,75896,1327,379480,10036,60663,64000,18276,27887,14539,10963,24.55,15457,영등포구,11167,41,225
서울,용산소방서,5,251,46008,916,230040,6395,39779,36881,9182,14605,7960,8265,21.87,10519,용산구,7949,37,192
서울,은평소방서,4,252,119959,1904,479835,14020,85010,57853,19389,4208,21773,24139,29.71,16151,은평구,7256,38,192
서울,종로소방서,6,293,24897,510,149384,4897,28311,25983,4792,9612,6015,5232,23.91,6248,종로구,10200,45,217
서울,중랑소방서,4,243,98676,1624,394702,13280,69341,56605,15411,4860,20394,24833,18.5,21335,중랑구,9430,34,225
서울,중부소방서,5,275,25048,455,125240,4526,24174,22818,4692,9395,5700,5299,9.96,12574,중구,8404,42,185
