구,동,연령별,계,한국인,등록외국인,
종로구,사직동,합계,9177,8937,240,
종로구,사직동,0~4세,155,150,5,
종로구,사직동,5~9세,253,245,8,
종로구,사직동,10~14세,322,316,6,
종로구,사직동,15~19세,312,309,3,
종로구,사직동,20~24세,408,400,8,
종로구,사직동,25~29세,652,636,16,
종로구,사직동,30~34세,831,815,16,
종로구,사직동,35~39세,645,614,31,
종로구,사직동,40~44세,767,723,44,
종로구,사직동,45~49세,691,656,35,
종로구,사직동,50~54세,773,751,22,
종로구,사직동,55~59세,722,708,14,
종로구,사직동,60~64세,681,667,14,
종로구,사직동,65~69세,614,602,12,
종로구,사직동,70~74세,388,386,2,
종로구,사직동,75~79세,337,335,2,
종로구,사직동,80~84세,304,304,-,
종로구,사직동,85~89세,208,207,1,
종로구,사직동,90~94세,82,81,1,
종로구,사직동,95~99세,25,25,-,
종로구,사직동,100세 이상,7,7,-,
종로구,삼청동,합계,2441,2189,252,
종로구,삼청동,0~4세,37,32,5,
종로구,삼청동,5~9세,66,48,18,
종로구,삼청동,10~14세,97,70,27,
종로구,삼청동,15~19세,106,84,22,
종로구,삼청동,20~24세,83,80,3,
종로구,삼청동,25~29세,159,150,9,
종로구,삼청동,30~34세,152,141,11,
종로구,삼청동,35~39세,162,137,25,
종로구,삼청동,40~44세,200,165,35,
종로구,삼청동,45~49세,172,135,37,
종로구,삼청동,50~54세,188,166,22,
종로구,삼청동,55~59세,180,170,10,
종로구,삼청동,60~64세,191,184,7,
종로구,삼청동,65~69세,195,185,10,
종로구,삼청동,70~74세,136,132,4,
종로구,삼청동,75~79세,133,128,5,
종로구,삼청동,80~84세,97,96,1,
종로구,삼청동,85~89세,55,54,1,
종로구,삼청동,90~94세,27,27,-,
종로구,삼청동,95~99세,5,5,-,
종로구,삼청동,100세 이상,-,-,-,
종로구,부암동,합계,9282,9016,266,
종로구,부암동,0~4세,120,120,-,
종로구,부암동,5~9세,234,234,-,
종로구,부암동,10~14세,371,371,-,
종로구,부암동,15~19세,411,408,3,
종로구,부암동,20~24세,519,454,65,
종로구,부암동,25~29세,640,571,69,
종로구,부암동,30~34세,709,667,42,
종로구,부암동,35~39세,556,526,30,
종로구,부암동,40~44세,678,659,19,
종로구,부암동,45~49세,681,670,11,
종로구,부암동,50~54세,837,831,6,
종로구,부암동,55~59세,787,778,9,
종로구,부암동,60~64세,724,721,3,
종로구,부암동,65~69세,667,662,5,
종로구,부암동,70~74세,431,428,3,
종로구,부암동,75~79세,380,379,1,
종로구,부암동,80~84세,265,265,-,
종로구,부암동,85~89세,180,180,-,
종로구,부암동,90~94세,63,63,-,
종로구,부암동,95~99세,26,26,-,
종로구,부암동,100세 이상,3,3,-,
종로구,평창동,합계,17426,17233,193,
종로구,평창동,0~4세,368,367,1,
종로구,평창동,5~9세,550,549,1,
종로구,평창동,10~14세,756,751,5,
종로구,평창동,15~19세,769,768,1,
종로구,평창동,20~24세,885,883,2,
종로구,평창동,25~29세,1020,1005,15,
종로구,평창동,30~34세,1061,1049,12,
종로구,평창동,35~39세,1013,979,34,
종로구,평창동,40~44세,1260,1235,25,
종로구,평창동,45~49세,1192,1170,22,
종로구,평창동,50~54세,1549,1534,15,
종로구,평창동,55~59세,1568,1550,18,
종로구,평창동,60~64세,1541,1525,16,
종로구,평창동,65~69세,1314,1303,11,
종로구,평창동,70~74세,868,862,6,
종로구,평창동,75~79세,664,661,3,
종로구,평창동,80~84세,483,481,2,
종로구,평창동,85~89세,358,355,3,
종로구,평창동,90~94세,163,162,1,
종로구,평창동,95~99세,31,31,-,
종로구,평창동,100세 이상,13,13,-,
종로구,무악동,합계,7857,7829,28,
종로구,무악동,0~4세,188,188,-,
종로구,무악동,5~9세,297,297,-,
종로구,무악동,10~14세,458,458,-,
종로구,무악동,15~19세,445,445,-,
종로구,무악동,20~24세,426,425,1,
종로구,무악동,25~29세,370,370,-,
종로구,무악동,30~34세,397,391,6,
종로구,무악동,35~39세,430,425,5,
종로구,무악동,40~44세,603,600,3,
종로구,무악동,45~49세,631,630,1,
종로구,무악동,50~54세,823,818,5,
종로구,무악동,55~59세,596,594,2,
종로구,무악동,60~64세,622,620,2,
종로구,무악동,65~69세,508,505,3,
종로구,무악동,70~74세,346,346,-,
종로구,무악동,75~79세,279,279,-,
종로구,무악동,80~84세,241,241,-,
종로구,무악동,85~89세,139,139,-,
종로구,무악동,90~94세,47,47,-,
종로구,무악동,95~99세,9,9,-,
종로구,무악동,100세 이상,2,2,-,
종로구,교남동,합계,9674,9512,162,
종로구,교남동,0~4세,282,277,5,
종로구,교남동,5~9세,409,404,5,
종로구,교남동,10~14세,361,351,10,
종로구,교남동,15~19세,397,390,7,
종로구,교남동,20~24세,424,423,1,
종로구,교남동,25~29세,642,634,8,
종로구,교남동,30~34세,703,691,12,
