구,동,0~14세,65~
강남구,개포1동,4495,4260
강남구,개포2동,6385,5933
강남구,개포3동,1842,3792
강남구,개포4동,2475,3896
강남구,논현1동,888,3184
강남구,논현2동,1338,3309
강남구,대치1동,4388,2885
강남구,대치2동,5840,5839
강남구,대치4동,1356,2263
강남구,도곡1동,2732,3383
강남구,도곡2동,4778,5562
강남구,삼성1동,1176,2545
강남구,삼성2동,3534,4159
강남구,세곡동,5972,7951
강남구,수서동,672,5295
강남구,신사동,1513,3203
강남구,압구정동,3118,5557
강남구,역삼1동,1320,4033
강남구,역삼2동,5015,4013
강남구,일원1동,949,3710
강남구,일원본동,3375,3797
강남구,청담동,2629,4099
강동구,강일동,4785,6746
강동구,고덕1동,4292,3451
강동구,고덕2동,4269,3723
강동구,길동,3533,10043
강동구,둔촌1동,4994,3935
강동구,둔촌2동,2433,5046
강동구,명일1동,3007,4829
강동구,명일2동,2156,3116
강동구,상일1동,7104,5665
강동구,상일2동,1981,2189
강동구,성내1동,1894,3572
강동구,성내2동,1321,5049
강동구,성내3동,1474,4534
강동구,암사1동,2628,7214
강동구,암사2동,1509,2798
강동구,암사3동,2486,3157
강동구,천호1동,1681,6153
강동구,천호2동,2275,7026
강동구,천호3동,1484,5335
강북구,미아동,972,5194
강북구,번1동,768,3715
강북구,번2동,795,4478
강북구,번3동,1096,5162
강북구,삼각산동,3864,5282
강북구,삼양동,1799,5823
강북구,송중동,1946,6770
강북구,송천동,1179,6530
강북구,수유1동,1172,4998
강북구,수유2동,1286,5672
강북구,수유3동,889,5358
강북구,우이동,1298,5452
강북구,인수동,1906,7935
강서구,가양1동,1978,3942
강서구,가양2동,580,4811
강서구,가양3동,688,4119
강서구,공항동,3918,4831
강서구,등촌1동,1716,3501
강서구,등촌2동,1511,3817
강서구,등촌3동,2115,8046
강서구,발산1동,4441,5896
강서구,방화1동,4969,7700
강서구,방화2동,1458,5706
강서구,방화3동,1556,6100
강서구,염창동,5503,5358
강서구,우장산동,5479,7144
강서구,화곡1동,2826,9895
강서구,화곡2동,1318,3333
강서구,화곡3동,1639,4874
강서구,화곡4동,1248,4496
강서구,화곡6동,2003,4735
강서구,화곡8동,1411,5077
강서구,화곡본동,2211,5876
관악구,낙성대동,789,2191
관악구,난곡동,1421,6176
관악구,난향동,1422,3130
관악구,남현동,982,3250
관악구,대학동,910,3525
관악구,미성동,2038,6762
관악구,보라매동,1339,5164
관악구,삼성동,1014,6047
관악구,서림동,943,4048
관악구,서원동,731,3706
관악구,성현동,2883,6116
관악구,신림동,341,2150
관악구,신사동,952,4076
관악구,신원동,649,3618
관악구,은천동,2460,6573
관악구,인헌동,1209,4520
관악구,조원동,1086,3517
관악구,중앙동,502,2597
관악구,청룡동,1490,5208
