관할구역명,독거노인가구수,고령인구수,유아인구수,등록장애인수,1인가구수,화재발생건수,관할면적
강남구,10335,74959,21750,15200,68999,387,39.5
강동구,10831,69903,23039,18307,50316,221,24.59
강북구,12704,63313,9967,17441,45685,186,23.6
강서구,16294,88733,26031,28727,86172,212,41.44
관악구,13676,78430,14828,20265,129233,219,29.57
광진구,8200,50311,12615,12353,62301,186,17.06
"구로구, 금천구",18438,108515,27422,29670,93305,283,33.14
노원구,17738,85420,20925,27312,56438,172,35.44
도봉구,10706,62009,12133,15436,34884,163,20.65
동대문구,11072,61612,14047,15701,60925,152,14.22
동작구,9923,64928,16472,14607,64101,151,16.35
마포구,8569,54002,16912,12951,63172,240,23.85
서대문구,8899,53756,13566,12551,49863,220,17.63
서초구,6891,60072,20736,10542,43942,240,46.98
성동구,7361,45435,14386,11412,42585,187,16.86
성북구,11771,73613,18611,17490,61510,173,24.58
송파구,12324,93309,33189,20286,73694,307,33.87
양천구,10847,65541,19003,17558,39436,153,17.41
영등포구,10036,60663,18276,14539,64000,225,24.55
용산구,6395,39779,9182,7960,36881,192,21.87
은평구,14020,85010,19389,21773,57853,192,29.71
종로구,4897,28311,4792,6015,25983,217,23.91
중랑구,13280,69341,15411,20394,56605,225,18.5
중구,4526,24174,4692,5700,22818,185,9.96
